,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate,1_Area under the curve,1_Autocorrelation,1_Centroid,1_Mean absolute diff,1_Mean diff,1_Median absolute diff,1_Median diff,1_Negative turning points,1_Neighbourhood peaks,1_Positive turning points,1_Signal distance,1_Slope,1_Sum absolute diff,1_Zero crossing rate,2_Area under the curve,2_Autocorrelation,2_Centroid,2_Mean absolute diff,2_Mean diff,2_Median absolute diff,2_Median diff,2_Negative turning points,2_Neighbourhood peaks,2_Positive turning points,2_Signal distance,2_Slope,2_Sum absolute diff,2_Zero crossing rate,3_Area under the curve,3_Autocorrelation,3_Centroid,3_Mean absolute diff,3_Mean diff,3_Median absolute diff,3_Median diff,3_Negative turning points,3_Neighbourhood peaks,3_Positive turning points,3_Signal distance,3_Slope,3_Sum absolute diff,3_Zero crossing rate,label
0,1775.8780612749047,1783.3709026450645,886.5033888114808,0.021175001863008334,1.6173164037252493e-05,0.012180935413751426,-0.00030175343921129416,473.0,83.0,472.0,1773.2021059758183,2.2719312285904677e-07,37.522103301250766,0.0,33542.318075193514,994980.2759443861,1114.3854032217362,6.408157363605251,0.02088282790325554,1.6078676480090461,-0.006900613809362799,409.0,69.0,410.0,11968.627421733316,0.007955961937988643,11355.254848308505,0.0,170412.98471842508,16675972.098941028,887.5620223382529,5.767148432804845,0.014631799208412339,0.3939977624768858,0.0,381.0,56.0,380.0,11260.590734653346,0.00020513082661663247,10219.387022930185,0.0,36723.44381844883,1373548.3257636586,973.5980537834755,7.244938961483031,0.0024727634781009137,0.19427928880264567,0.0,220.0,60.0,306.0,13957.447033315804,0.0033376622387168396,12838.031839747931,297.0,2
1,1651.2982301918832,1658.2659176961126,823.6680961836627,0.02348667933167134,-4.101498156407592e-06,0.014200714014728444,-0.0005322836288088606,410.0,78.0,411.0,1649.200292509132,-1.2697961422765445e-06,38.70604753859437,0.0,33500.58373133984,999371.3023755825,924.1068381860939,6.739660736103615,0.010983360791636596,1.946089201880345,0.1321534829732709,380.0,76.0,380.0,11623.5585036476,0.004682371496672318,11106.960893098758,0.0,158066.1247646378,15418033.69660799,822.0175662113235,5.613806665625913,-0.0004031628976091839,0.38281354549212665,0.0,346.0,66.0,365.0,10214.211068594372,-0.00047637788442778106,9251.553384951505,0.0,36184.86494115068,1360417.0189322764,866.7439624950962,7.48866372971278,0.0034047295679358867,0.19700743549734412,0.0,204.0,55.0,281.0,13366.311202052322,0.001908462817294821,12341.317826566661,267.0,2
2,1359.4462815667375,1368.1221443683228,678.9023501193044,0.0283835363874309,1.550086783535834e-05,0.015114754132869335,-9.711449937088723e-05,342.0,65.0,343.0,1356.5707460408255,3.2368353036706573e-06,38.45969180496887,0.0,28531.185905673945,913828.1727808244,784.4368031691959,7.118411915127171,0.003101906448565555,2.0294368051735994,0.08980755688224917,323.0,59.0,324.0,10080.730179247214,0.006202960896871209,9645.448144997317,0.0,129665.13596287742,12630229.455090243,672.9470885713947,5.971233289975508,-0.0006045105472194932,0.38699276238831715,0.0,305.0,51.0,298.0,8874.059506845468,-0.0015981731132142182,8091.021107916814,0.0,33191.413980625126,1350565.4754226052,750.910018288134,8.73155726744121,0.007931044018488213,0.23218769829129826,0.0,174.0,47.0,239.0,12644.763536384731,0.006421681065308144,11831.260097382838,229.0,2
3,1332.2576870269613,1338.6689327819847,665.5078561205421,0.018348136960105784,-7.502960055339873e-05,0.011902535670484493,-0.000128402170721853,363.0,67.0,363.0,1328.4882181225794,5.202149000620336e-06,24.36632588302048,0.0,34368.1870619909,1724618.796676816,750.1597110277488,6.991320216331916,0.04925592906791007,1.2973150051968414,-0.011374510538917804,333.0,53.0,334.0,9797.853538907148,-0.002638375218527396,9284.473247288784,0.0,141698.46390567106,15164291.495539365,659.1945464967171,2.6708418994040914,-0.0031974592386098378,0.5270317071649586,0.0,298.0,48.0,294.0,4264.126195755737,-0.001835412462253546,3546.8780424086335,0.0,78858.95287946233,7040253.979119204,829.6357795577486,15.425113161887106,0.01339716584367095,0.5261828744616146,0.09259412582505533,259.0,39.0,260.0,21133.166593767608,0.03597096185235824,20484.550278986077,0.0,2
4,1372.4805756109213,1380.4219855094107,682.3256022631348,0.021740155532788855,1.7532523705349934e-05,0.014077881434508277,-0.0006565359834469486,367.0,59.0,367.0,1367.705847990237,-3.483222312473595e-06,29.718792613322364,0.0,38712.58246596667,1939011.1809987838,773.3876152272895,8.037192408799136,-0.00016742564556621858,1.675665829665442,-0.15446235835607425,322.0,54.0,321.0,11453.68123297568,0.003967210709047081,10986.84202282842,0.0,144254.24675261363,15255674.84566474,689.4153556917179,2.1356338999472255,0.008341042902028159,0.5188673959894317,0.0,301.0,45.0,308.0,3661.421814511373,0.001975010434908995,2919.411541227857,0.0,64296.13548070654,3870787.890674781,684.0425770022637,10.063475044563964,-0.018169215841173283,0.4058753874492851,0.028156312831512764,282.0,47.0,283.0,14475.202308509004,-0.003844155102609414,13756.770385918939,0.0,2
5,1412.2559593816327,1422.3325365695373,700.3502661712778,0.021874023923021617,-1.0450833520775695e-05,0.013898888293372269,0.0002051920487284864,383.0,59.0,383.0,1405.7922775949853,-6.007407654406102e-06,30.733003611845373,0.0,41329.17466018074,2264658.2239409317,791.035124350845,8.506106700300172,0.016695559585263742,1.7803693555813127,-0.053509385728080616,315.0,44.0,315.0,12423.1568293069,0.0047463259959537206,11951.079913921743,0.0,148886.84039865306,15810409.764800418,708.359538240115,2.109924813952485,0.003639052414733213,0.5133015643951921,0.0,300.0,46.0,289.0,3730.3828169560347,0.001850129291089547,2964.4443636032415,0.0,68205.43204699203,4646592.183526135,731.0303569788459,11.717830790945737,-0.03159483001476764,0.4285635012654154,0.029614189249716816,277.0,45.0,277.0,17181.008869189973,-0.0006840273519117732,16463.55226127876,0.0,2
6,1128.5581001644043,1136.5443574512958,559.6380380424769,0.022620093062149963,4.4168327050881346e-05,0.015626242055357786,0.0003436401985745796,296.0,48.0,295.0,1123.6048666834654,-8.755287683332958e-06,25.40236450879441,0.0,33380.07602163822,1830988.6328417442,738.7197313062516,8.954011711627667,-0.03185571037953718,1.476106134680677,-0.02740976991699995,258.0,46.0,258.0,10445.038371398858,0.023392265094113872,10055.35515215787,0.0,118568.17840132004,12548456.101245381,567.0438368429236,2.0428970221936598,0.011211122807135557,0.47121585417701795,0.0,236.0,47.0,249.0,2924.384174375143,0.0027340965735712297,2294.17335592348,0.0,57513.672914795374,4021473.6332953796,560.420485078755,11.710084024922265,-0.026510603507569036,0.4531833883958285,0.03144593694233677,207.0,39.0,208.0,13720.836249267617,-0.008166212802101527,13150.424359987705,0.0,2
7,1070.0784666120194,1078.8516781329051,529.119599549737,0.025725272889981155,1.0187728153715116e-07,0.017075943015352535,-0.0006580577318468506,285.0,47.0,284.0,1064.7779813107409,-1.4323143314060702e-05,27.37169035493995,0.0,37203.048607088196,1964786.0009717494,560.0631675304163,10.12581782649942,0.025222941536313007,1.7878678739047906,-0.11859056181440375,255.0,49.0,255.0,11124.728797506152,0.006345872310178378,10773.870167395382,0.0,111902.13305180611,11796010.78838753,536.4988657569321,1.9840346236395447,0.009111313451372843,0.5261303722899271,0.0,223.0,41.0,240.0,2693.672423093202,0.002472033013939014,2111.0128395524757,0.0,53538.729699980555,3735563.504845282,532.6517897756103,12.48036869754543,-0.03258902582944208,0.564822741954158,0.011446924014386184,210.0,37.0,210.0,13798.135469727638,-0.005500863228681861,13279.112294188337,0.0,2
8,972.5582792162777,978.3546824860763,486.98375419266677,0.03232762822055564,-2.423098500285807e-05,0.015023873389712006,-0.0008675981624107765,230.0,38.0,229.0,974.8388637068946,1.211725128974669e-06,31.454782258600638,0.0,23838.095246665092,1005851.1051924784,494.3166770181784,6.175000559597542,0.002112973171696619,1.669969787933665,0.018938217150966885,225.0,25.0,225.0,6347.131908730177,-0.002041494116612695,6008.275544488409,0.0,114207.1298186507,13503080.305086534,486.5570212413703,5.6311900685453855,0.011127423826838794,0.4941081130189957,0.0,218.0,28.0,214.0,5972.958647813588,-3.1200537378234074e-05,5479.1479366946605,0.0,31877.02251399529,1380000.2925208802,479.6852410871438,7.1702611300786065,0.003139574580700384,0.4420862906359062,-0.03346220312992898,191.0,17.0,191.0,7489.132098633077,0.002691010624392832,6976.664079566484,0.0,2
9,975.0544892480548,978.7748361545176,489.07990457797274,0.025338228406588923,9.034984776183721e-05,0.014181183708066647,-0.00043664871136228633,244.0,36.0,245.0,976.8215552425648,2.7067512752366195e-06,24.73011092483079,0.0,21316.548296754747,888490.1427194747,620.9639005419763,8.356401134333193,0.00352205567316853,1.67805145171166,0.07648387491896136,244.0,26.0,244.0,8471.462187642472,0.013341141440022374,8155.847507109196,0.0,115030.14413154451,13636688.573432004,488.50513779782455,5.037216317869101,-0.01060326384982473,0.4844571117732457,0.0,223.0,33.0,213.0,5416.485333044366,0.0002839486565849078,4916.323126240242,0.0,30132.97223851452,1330822.17876552,523.8132942532774,9.605707339128644,-0.0060891036992021365,0.3630199978790465,0.02206806863912547,206.0,15.0,206.0,9900.542208020823,0.009713754137121002,9375.170362989556,0.0,0
